section,compte,intitule,debit,credit,solde,nb
FOURNISSEURS,FCUYNET,CUYNET OPHELIE,1440.0,1440.0,0.0,4
FOURNISSEURS,FDANTE,DANTE,21540.0,21540.0,0.0,13
FOURNISSEURS,FDIVERS,DIVERS,26.0,26.0,0.0,6
FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,4850.0,4550.0,300.0,15
FOURNISSEURS,FEASYCASH,EASYCASH,363.96,363.96,0.0,2
FOURNISSEURS,FFCSC,ASSO FCSC,8851.0,8851.0,0.0,6
FOURNISSEURS,FFHGROUP,FH GROUP,1372.92,1372.92,0.0,2
FOURNISSEURS,FFILIZ,FILIZ,2718.0,2718.0,0.0,24
FOURNISSEURS,FFRAIS,NOTE DE FRAIS,32845.58,32288.28,557.3,117
FOURNISSEURS,FFYGR,FYGR,708.0,708.0,0.0,2
FOURNISSEURS,FGAMMA,GAMMA,352.56,352.56,0.0,4
FOURNISSEURS,FGONZALEZ,GONZALEZ ANTONIN,4000.0,4000.0,0.0,4
FOURNISSEURS,FHEYGEN,HEYGEN,1516.6,1516.6,0.0,4
FOURNISSEURS,FHOTEL,HOTEL,1156.18,1156.18,0.0,14
FOURNISSEURS,FIMPAAKT,IMPAAKT,7509.6,7509.6,0.0,6
FOURNISSEURS,FINTERSPORT,INTERSPORT,300.0,300.0,0.0,2
FOURNISSEURS,FIPT,IPT,244.8,244.8,0.0,2
FOURNISSEURS,FJAAS,8X8 - JAAS,2057.02,2057.02,0.0,4
FOURNISSEURS,FJEQUIPE2,JEQUIPE2,2488.8,2488.8,0.0,4
FOURNISSEURS,FJURY,NOTE DE FRAIS JURY,9868.3,9168.8,699.5,52
FOURNISSEURS,FKEY,KEY,600.0,600.0,0.0,2
FOURNISSEURS,FLABOS,A LABOS,3242.31,3242.31,0.0,4
FOURNISSEURS,FLECLERC,LECLERC,199.0,199.0,0.0,2
FOURNISSEURS,FLITZ,LITZ,3600.0,3600.0,0.0,2
FOURNISSEURS,FMICROSOFT,MICROSOFT,2041.94,2064.56,-22.62,35
FOURNISSEURS,FMIGLIORE,SEBASTIEN MIGLIORE,2000.0,2000.0,0.0,7
FOURNISSEURS,FMINDOMO,MINDOMO,208.8,208.8,0.0,6
FOURNISSEURS,FMLTN,MLTN COMMUNICATION,2876.0,2876.0,0.0,4
FOURNISSEURS,FMOB,MOB COWORKING,6238.7,5344.6,894.1,24
FOURNISSEURS,FNURYKA,NURYKA,196.68,196.68,0.0,2
FOURNISSEURS,FONEDIRECT,ONEDIRECT,358.51,358.51,0.0,2
FOURNISSEURS,FOPENAI,OPENAI (CHATGPT),236.82,236.82,0.0,2
FOURNISSEURS,FPARIS,PARIS 13 ATLETICO,3112.78,3112.78,0.0,2
FOURNISSEURS,FPOSTE,LA POSTE,42.25,42.25,0.0,6
FOURNISSEURS,FPRAT,PRAT OLIVIER,1668.0,1668.0,0.0,3
FOURNISSEURS,FPROX,PROX COURTAGE,1800.0,1800.0,0.0,2
FOURNISSEURS,FQUALIOPI,QUALIOPI,1192.5,1192.5,0.0,2
FOURNISSEURS,FRESTAU,RESTAURANTS,4023.32,4023.32,0.0,68
FOURNISSEURS,FSECOGEST,SECOGEST,6604.8,8910.72,-2305.92,13
FOURNISSEURS,FSEEDANCE,SEEDANCE,3883.56,3883.56,0.0,4
FOURNISSEURS,FSFPARIS,STADE FRANCAIS PARIS,9500.0,9500.0,0.0,4
FOURNISSEURS,FSMART,SMART AINFO,26000.0,25500.0,500.0,10
FOURNISSEURS,FSMARTSMAP,SMARTSMAP,78.0,78.0,0.0,2
FOURNISSEURS,FSNCF,SNCF,4485.3,4943.3,-458.0,71
FOURNISSEURS,FSOTEAM,SO'TEAM,3300.0,3300.0,0.0,2
FOURNISSEURS,FSPLIT,SPLIT PAULINE ZEH,5516.13,5516.13,0.0,6
FOURNISSEURS,FSTADEAURI,STADE AURILLACOIS,6106.0,6106.0,0.0,2
FOURNISSEURS,FSUIVIJURY,SUIVIJURY,3355.0,2675.0,680.0,10
FOURNISSEURS,FSUPABASE,SUPABASE,87.97,87.97,0.0,2
FOURNISSEURS,FTIMOTEO,TIMOTEO ADRIEN,3500.0,3500.0,0.0,2
FOURNISSEURS,FTLG,TLG EXPERTISE,5718.92,5718.92,0.0,4
FOURNISSEURS,FUBER,UBER,262.34,257.96,4.38,22
FOURNISSEURS,FUSBPA,USBPA RUGBY,720.0,720.0,0.0,2
FOURNISSEURS,FVIRTUS,VIRTUS MENTIS,5025.0,5025.0,0.0,10
FOURNISSEURS,FVISTA,VISTAPRINT,1022.5,1022.5,0.0,2
GENERAUX,1013000,Capital appele verse,0.0,6000.0,-6000.0,1
GENERAUX,1640000,Emprunts,9886.51,82000.0,-72113.49,8
GENERAUX,2050000,Conc. brevets licences,15000.0,0.0,15000.0,1
GENERAUX,2156000,Matériel pédagogique,25500.0,0.0,25500.0,3
GENERAUX,2183000,Materiel de bureau,1946.72,0.0,1946.72,2
GENERAUX,4210000,Personnel remunerations dues,52000.55,59792.67,-7792.12,50
GENERAUX,4286000,Autres charges du personnel,0.0,25000.0,-25000.0,1
GENERAUX,4310000,Securite sociale,17237.0,16745.87,491.13,40
GENERAUX,4370200,Prévoyance,1422.36,1706.56,-284.2,29
GENERAUX,4370300,Retraite,2559.3,3240.73,-681.43,29
GENERAUX,4370800,Compte n°4370800,0.0,62.87,-62.87,15
GENERAUX,4380000,Compte n°4380000,0.0,10.61,-10.61,8
GENERAUX,4421000,Etat - Prélèvement à la source,0.0,209.32,-209.32,1
GENERAUX,4486100,Compte n°4486100,0.0,169.64,-169.64,1
GENERAUX,4486300,Compte n°4486300,0.0,112.08,-112.08,8
GENERAUX,4551000,C/c Stéphanie,17216.0,17216.0,0.0,4
GENERAUX,4551700,C/c Sébastien,5678.44,5678.44,-0.0,5
GENERAUX,4710000,Compte d'attente,19568.86,1341.46,18227.4,93
GENERAUX,5120000,Banque Populaire,616235.04,505099.56,111135.48,643
GENERAUX,5300000,Caisse,550.0,0.0,550.0,5
GENERAUX,5800000,Virements internes,45000.0,45000.0,0.0,2
GENERAUX,6022000,Achats stockés matière d'oeuvre de formation - App,8250.0,0.0,8250.0,4
GENERAUX,6022200,Achats stockés matière d'oeuvre de formation - FC,4519.63,0.0,4519.63,5
GENERAUX,6040000,Achats prestations formations - Apprentissage,51608.72,0.0,51608.72,38
GENERAUX,6042000,Achats prestations formation - Formation continue,3600.0,0.0,3600.0,1
GENERAUX,6061400,Carburants,12.6,0.0,12.6,1
GENERAUX,6063000,Produits d'entretien,1276.53,0.0,1276.53,7
GENERAUX,6064000,Fournitures administratives,1194.25,0.0,1194.25,9
GENERAUX,6068000,Achats équipements apprentis,1472.49,0.0,1472.49,2
GENERAUX,6068500,Vetements de travail,2488.8,0.0,2488.8,2
GENERAUX,6070000,Achats stockés de matériel pédagogique,358.51,0.0,358.51,1
GENERAUX,6110000,Sous traitance generale,2385.0,0.0,2385.0,1
GENERAUX,6115000,Frais commerciaux annexes,1272.09,0.0,1272.09,24
GENERAUX,6132000,Locations immobilieres,20411.7,0.0,20411.7,9
GENERAUX,6135000,Locations logiciels,32996.63,1247.36,31749.27,157
GENERAUX,6135300,Location logiciel contrats alternance/apprentissag,2718.0,0.0,2718.0,12
GENERAUX,6160000,Assurances,2650.18,7.0,2643.18,70
GENERAUX,6161000,Assurance protection juridique pro,379.96,0.0,379.96,8
GENERAUX,6162000,Assurance RCP,354.83,0.0,354.83,7
GENERAUX,6185000,"Séminaire, colloque",10206.0,0.0,10206.0,2
GENERAUX,6226000,Honoraires comptables,8910.72,0.0,8910.72,9
GENERAUX,6226100,Honoraires de formation,11291.13,0.0,11291.13,7
GENERAUX,6226200,Honoraires juridiques,5122.0,0.0,5122.0,6
GENERAUX,6226300,Honoraires divers,2223.94,0.0,2223.94,2
GENERAUX,6226400,Honoraires jury,6350.0,0.0,6350.0,25
GENERAUX,6226900,Honoraires de formation,3242.31,0.0,3242.31,2
GENERAUX,6227000,Frais actes & contentieux,407.62,0.0,407.62,5
GENERAUX,6234000,Cadeaux a la clientele,300.0,0.0,300.0,1
GENERAUX,6237000,Publicité,22889.66,0.0,22889.66,12
GENERAUX,6238000,Pourboires dons courants,5200.0,0.0,5200.0,4
GENERAUX,6251000,Voyages et deplacements,39754.36,85.0,39669.36,208
GENERAUX,6251200,Déplacements et missions Jury,528.64,0.0,528.64,7
GENERAUX,6257000,Missions et receptions,3745.2,0.0,3745.2,4
GENERAUX,6260000,Affranchissement,496.73,540.0,-43.27,8
GENERAUX,6261000,Telephone,3067.25,0.0,3067.25,9
GENERAUX,6275000,Services bancaires,4505.72,219.7,4286.02,108
GENERAUX,6284000,Frais de formation,1438.0,0.0,1438.0,1
GENERAUX,6311000,Compte n°6311000,169.64,0.0,169.64,1
GENERAUX,6312000,Compte n°6312000,69.59,0.0,69.59,8
GENERAUX,6333000,Formation continue,176.98,0.0,176.98,8
GENERAUX,6335000,Taxe d'apprentissage,10.61,0.0,10.61,8
GENERAUX,6358000,Autres droits,93.72,0.0,93.72,1
GENERAUX,6411000,Salaires,69448.36,0.0,69448.36,15
GENERAUX,6412000,Conges payes,449.94,0.0,449.94,2
GENERAUX,6415000,Rémunération gérance Xavier,27500.0,0.0,27500.0,2
GENERAUX,6415100,Rémunération gérant Stéphanie,19500.0,0.0,19500.0,1
GENERAUX,6451000,Urssaf,5708.93,133.46,5575.47,15
GENERAUX,6452000,Compte n°6452000,1142.42,0.0,1142.42,14
GENERAUX,6453000,Prevoyance,1447.81,0.0,1447.81,15
GENERAUX,6454000,Pole emploi,2970.66,0.0,2970.66,15
GENERAUX,6458000,Cotisisations autres organis.,67.81,0.0,67.81,16
GENERAUX,6465000,Complémentaire,2986.48,294.87,2691.61,33
GENERAUX,6580000,Charges div.gest.courante,0.01,0.0,0.01,1
GENERAUX,6616000,Intérêts bancaires sur emprunt,3255.77,0.0,3255.77,13
GENERAUX,7060000,Prestations de services AFDAS,0.0,475983.08,-475983.08,20
GENERAUX,7061000,Prestations de services AURAR,0.0,24600.0,-24600.0,2
GENERAUX,7062000,Prestations de services AURILLAC,0.0,2250.0,-2250.0,2
GENERAUX,7063000,Prestations de services STADE OLYMP. CHAMBERIEN,0.0,750.0,-750.0,1
GENERAUX,7064000,Prestations de services OPCO,0.0,10227.42,-10227.42,3
GENERAUX,7065000,Prestations de services LA ROCHELLE,0.0,3850.0,-3850.0,1
GENERAUX,7066000,Prestations de services AKTO,0.0,15445.8,-15445.8,5
GENERAUX,7400000,Subventions d'exploitation - aide unique apprentissage (ASP),0.0,8944.3,-8944.3,4
