idx,section,compte,intitule,date,piece,jnl,libelle,debit,credit,solde,lettrage,page
61,FOURNISSEURS,FANTHROPIC,ANTHROPIC (CLAUDE),03/04/2026,0202C0G,BQ,PRLV ANTHROPIC - CONTRAT 000002367100,1296.36,,0.0,A,3
62,FOURNISSEURS,FAPRR,APRR,30/06/2025,,BQ,APRR,7.6,,7.6,B,3
63,FOURNISSEURS,FAPRR,APRR,30/06/2025,,BQ,APRR,7.6,,15.2,B,3
64,FOURNISSEURS,FAPRR,APRR,31/10/2025,,BQ,APRR,7.6,,22.8,B,3
65,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,30.6,B,3
66,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,38.4,B,3
67,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,46.2,B,3
68,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,9.5,,55.7,B,3
69,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,63.5,B,3
70,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,71.3,B,3
71,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,79.1,B,3
72,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.3,,86.4,B,3
73,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,9.5,,95.9,B,3
74,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,9.5,,105.4,B,3
75,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.3,,112.7,B,3
76,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.3,,120.0,B,3
77,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,7.8,,127.8,B,3
78,FOURNISSEURS,FAPRR,APRR,28/11/2025,,BQ,APRR,12.5,,140.3,B,3
79,FOURNISSEURS,FAPRR,APRR,31/12/2025,,BQ,APRR,6.5,,146.8,B,3
80,FOURNISSEURS,FAPRR,APRR,31/12/2025,,BQ,APRR,6.5,,153.3,B,3
81,FOURNISSEURS,FAPRR,APRR,31/12/2025,,BQ,APRR,7.8,,161.1,B,3
82,FOURNISSEURS,FAPRR,APRR,31/12/2025,,BQ,APRR,6.5,,167.6,B,3
83,FOURNISSEURS,FAPRR,APRR,31/12/2025,,BQ,APRR,9.5,,177.1,B,3
84,FOURNISSEURS,FAPRR,APRR,30/01/2026,,BQ,APRR,7.6,,184.7,B,3
85,FOURNISSEURS,FAPRR,APRR,01/07/2026,2025630170000741,AC,APRR RECAP 10.06.2025-12.01.2026,,184.7,0.0,B,3
86,FOURNISSEURS,FAVOCAT,AVOCAT,09/05/2025,FAC09494,AC,AVOCAT,,770.0,-770.0,A,3
87,FOURNISSEURS,FAVOCAT,AVOCAT,09/05/2025,4368994,BQ,EVI AVOCAT THIVEND,770.0,,0.0,A,3
88,FOURNISSEURS,FAVOCAT,AVOCAT,29/07/2025,W638L5E,BQ,VIR INST,840.0,,840.0,A,3
89,FOURNISSEURS,FAVOCAT,AVOCAT,09/09/2025,FAC10133,AC,AVOCAT,,1190.0,-350.0,A,3
90,FOURNISSEURS,FAVOCAT,AVOCAT,29/09/2025,9121466,BQ,EVI AVOCAT THIVEND,350.0,,0.0,A,3
91,FOURNISSEURS,FAVOCAT,AVOCAT,07/10/2025,FAC10253,AC,AVOCAT,,360.0,-360.0,A,3
92,FOURNISSEURS,FAVOCAT,AVOCAT,31/10/2025,FAC10376,AC,AVOCAT,,17.71,-377.71,A,3
93,FOURNISSEURS,FAVOCAT,AVOCAT,24/11/2025,FAC10505,AC,AVOCAT,,6.71,-384.42,A,3
94,FOURNISSEURS,FAVOCAT,AVOCAT,28/11/2025,FAC10528,AC,AVOCAT,,420.0,-804.42,A,4
95,FOURNISSEURS,FAVOCAT,AVOCAT,04/12/2025,W6WQB2S,BQ,VIR INST POUR AVOCAT THIVEND 2504253-4 - PET/AK/A,6.71,,-797.71,A,4
96,FOURNISSEURS,FAVOCAT,AVOCAT,04/12/2025,W6WQB42,BQ,VIR INST POUR AVOCAT THIVEND 2504253-3 - PET/AK/A,360.0,,-437.71,A,4
97,FOURNISSEURS,FAVOCAT,AVOCAT,04/12/2025,W6WQB5I,BQ,VIR INST POUR AVOCAT THIVEND 2510160 - PET/CT/CT,420.0,,-17.71,A,4
98,FOURNISSEURS,FAVOCAT,AVOCAT,27/02/2026,FAC11140,AC,AVOCAT,,480.0,-497.71,A,4
99,FOURNISSEURS,FAVOCAT,AVOCAT,28/02/2026,W7GBOPH,BQ,VIR INST DE SARL WE FORM WE-FORM / CONSTRUCTYS 251,480.0,,-17.71,A,4
100,FOURNISSEURS,FAVOCAT,AVOCAT,12/03/2026,W7JU9QH,BQ,VIR INST DE SARL WE FORM FAC10376 - INPI SARL WE,17.71,,0.0,A,4
101,FOURNISSEURS,FBBL,BBL HOLDING,12/11/2025,2025-11-FAC 1,AC,BBL HOLDING,,1104.0,-1104.0,A,4
102,FOURNISSEURS,FBBL,BBL HOLDING,16/11/2025,W6S7HH7,BQ,VIR INST POUR BBL HOLDING PAIEMENT FACTURE FORMATE,1104.0,,0.0,A,4
103,FOURNISSEURS,FBBL,BBL HOLDING,07/01/2026,2026-01-FAC 2,AC,BBL HOLDING,,172.8,-172.8,A,4
104,FOURNISSEURS,FBBL,BBL HOLDING,07/01/2026,W74OAME,BQ,VIR INST POUR BBL HOLDING FACTURE DECEMBRE SARL W,172.8,,0.0,A,4
105,FOURNISSEURS,FBBL,BBL HOLDING,01/04/2026,2026-04-FAC-3,AC,BBL HOLDING,,1392.0,-1392.0,A,4
106,FOURNISSEURS,FBBL,BBL HOLDING,23/04/2026,W7T4OS7,BQ,VIR INST POUR BBL HOLDING FORMATEUR SARL WE FORM,1392.0,,0.0,A,4
107,FOURNISSEURS,FBENALI,ERWAN BENALI,25/02/2026,WF-001,AC,ERWAN BENALI,,15000.0,-15000.0,A,4
108,FOURNISSEURS,FBENALI,ERWAN BENALI,26/02/2026,W7FQ12W,BQ,VIR INST DE SARL WE FORM ACOMPTE APPLICATIF SARL,15000.0,,0.0,A,4
109,FOURNISSEURS,FBOLT,BOLT,25/01/2026,,AC,BOLT,,1263.32,-1263.32,A,4
110,FOURNISSEURS,FBOLT,BOLT,25/01/2026,W7834N1,BQ,VIR INST BOLTNEW - FACTURE N°2 DEVELOPPEMENT APPLICATION CLUB,1263.32,,0.0,A,4
111,FOURNISSEURS,FBOLT,BOLT,23/04/2026,,AC,BOLT,,753.6,-753.6,B,4
112,FOURNISSEURS,FBOLT,BOLT,23/04/2026,W7T4OMZ,BQ,VIR INST BOLTNEW - DEVELOPPEMENT APPLICATION,753.6,,0.0,B,4
113,FOURNISSEURS,FBOULANGER,BOULANGER,15/04/2026,24A042555,AC,BOULANGER PC,,1299.99,-1299.99,A,4
114,FOURNISSEURS,FBOULANGER,BOULANGER,04/05/2026,W7VDQE8,BQ,VIR INST POUR STEPHANIE HOUVENAGHEL PC - PORTAB -,1299.99,,0.0,A,4
115,FOURNISSEURS,FBOULANGER,BOULANGER,02/07/2026,F277A083470,AC,BOULANGER,,646.73,-646.73,A,4
116,FOURNISSEURS,FBOULANGER,BOULANGER,07/07/2026,W8BRGGU,BQ,VIR INST POUR JULIE HUCHET RBST PC SARL WE FORM J,646.73,,0.0,A,4
117,FOURNISSEURS,FBOURRIER,BOURRIER CAMILLE,16/05/2025,2025F05-116,AC,BOURRIER CAMILLE,,3108.0,-3108.0,A,4
118,FOURNISSEURS,FBOURRIER,BOURRIER CAMILLE,26/05/2025,W5OU9TY,BQ,VIR INST POUR CAMILLE BOURRIER FAC 2025F05116 SARL,3108.0,,0.0,A,4
119,FOURNISSEURS,FBOURRIER,BOURRIER CAMILLE,02/03/2026,2026F03-151,AC,BOURRIER CAMILLE,,400.0,-400.0,A,4
120,FOURNISSEURS,FBOURRIER,BOURRIER CAMILLE,03/05/2026,W7VDNRY,BQ,VIR INST POUR CAMILLE BOURRIER TEMPLATE RS SARL W,400.0,,0.0,A,4
121,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/10/2025,1503815378,AC,BOUYGUES,,298.03,-298.03,A,5
122,FOURNISSEURS,FBOUYGUES,BOUYGUES,08/10/2025,00UUTYP,BQ,PRLV SEPA KEYYO,298.03,,0.0,A,5
123,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/11/2025,1503857927,AC,BOUYGUES,,177.29,-177.29,A,5
124,FOURNISSEURS,FBOUYGUES,BOUYGUES,07/11/2025,011X4WE,BQ,PRLV SEPA KEYYO,177.29,,0.0,A,5
125,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/12/2025,1503896143,AC,BOUYGUES,,487.7,-487.7,A,5
126,FOURNISSEURS,FBOUYGUES,BOUYGUES,08/12/2025,018PE5K,BQ,PRLV SEPA KEYYO,487.7,,0.0,A,5
127,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/01/2026,1503933873,AC,BOUYGUES,,246.9,-246.9,A,5
128,FOURNISSEURS,FBOUYGUES,BOUYGUES,07/01/2026,01G2IY7,BQ,PRLV SEPA KEYYO,246.9,,0.0,A,5
129,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/02/2026,1503972236,AC,BOUYGUES,,174.59,-174.59,A,5
130,FOURNISSEURS,FBOUYGUES,BOUYGUES,06/02/2026,01N3YGE,BQ,PRLV SEPA KEYYO,174.59,,0.0,A,5
131,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/03/2026,1504011958,AC,BOUYGUES,,174.59,-174.59,A,5
132,FOURNISSEURS,FBOUYGUES,BOUYGUES,06/03/2026,01TTU4A,BQ,PRLV SEPA KEYYO,174.59,,0.0,A,5
133,FOURNISSEURS,FBOUYGUES,BOUYGUES,31/03/2026,,BQ,KEYYO,505.84,,505.84,A,5
134,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/04/2026,1504052678,AC,BOUYGUES,,937.51,-431.67,A,5
135,FOURNISSEURS,FBOUYGUES,BOUYGUES,30/04/2026,U1579463,AC,BOUYGUES,540.0,,108.33,A,5
136,FOURNISSEURS,FBOUYGUES,BOUYGUES,30/04/2026,,BQ,KEYYO,431.67,,540.0,A,5
137,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/05/2026,1504095598,AC,BOUYGUES,,249.84,290.16,A,5
138,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/06/2026,1504139679,AC,BOUYGUES,,464.8,-174.64,A,5
139,FOURNISSEURS,FBOUYGUES,BOUYGUES,01/07/2026,,BQ,KEYYO,174.64,,0.0,A,5
140,FOURNISSEURS,FBOUYGUES,BOUYGUES,04/07/2026,1504185244,AC,BOUYGUES,,257.5,-257.5,,5
141,FOURNISSEURS,FBRUNET,BRUNET,12/06/2026,004,AC,BRUNET,,250.0,-250.0,A,5
142,FOURNISSEURS,FBRUNET,BRUNET,18/06/2026,W86ZRTD,BQ,VIR INST POUR KENNY BRUNET FORMATEUR KENNY - CHARN,250.0,,0.0,A,5
143,FOURNISSEURS,FBUREAU,BUREAU VALLEE,15/05/2026,I01270100007780,AC,BUREAU VALLEE,,323.41,-323.41,A,5
144,FOURNISSEURS,FBUREAU,BUREAU VALLEE,29/05/2026,,BQ,BUREAU VALLEE,323.41,,0.0,A,5
145,FOURNISSEURS,FCANVA,CANVA,19/06/2025,04552,AC,CANVA,,270.0,-270.0,A,5
146,FOURNISSEURS,FCANVA,CANVA,30/06/2025,,BQ,CANVA,270.0,,0.0,A,5
147,FOURNISSEURS,FCARREFOUR,CARREFOUR,06/05/2026,FSM2402600111067,AC,CARREFOUR PC PORTABLE,,449.99,-449.99,A,5
148,FOURNISSEURS,FCARREFOUR,CARREFOUR,07/05/2026,W7X4ZL0,BQ,VIR INST DE SARL WE FORM RBRT PC STAGIAIRE SARL W,449.99,,0.0,A,5
149,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,28/02/2026,F20260228,AC,L'ECOLE POUR CELLES,,1350.0,-1350.0,A,5
150,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,28/02/2026,W7GBOV1,BQ,VIR INST DE SARL WE FORM PRESTA FEVRIER - FRED POU,1350.0,,0.0,A,5
151,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,31/03/2026,F20260228,AC,L'ECOLE POUR CELLES,,1500.0,-1500.0,A,5
152,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,09/04/2026,W7QFXC2,BQ,VIR INST POUR L'ECOLE POUR CELLES PRESTA FORMATEUR,1500.0,,0.0,A,5
153,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,09/05/2026,F2026050901,AC,L'ECOLE POUR CELLES,,1325.0,-1325.0,A,5
154,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,12/05/2026,W7YF84G,BQ,VIR INST POUR L'ECOLE POUR CELLES FACTURE FORMATEU,1325.0,,0.0,A,6
155,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,03/06/2026,F2026060301,AC,L'ECOLE POUR CELLES,,1600.0,-1600.0,A,6
156,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,15/06/2026,W86DI1Y,BQ,VIR INST POUR L'ECOLE POUR CELLES FORMATEUR MAI SA,1600.0,,0.0,A,6
157,FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,20/07/2026,W8EHKTD,BQ,VIR INST POUR L'ECOLE POUR CELLES FORMATEUR JUIN S,1190.9,,1190.9,,6
158,FOURNISSEURS,FCLEMENT,CLEMENT PHILIP,10/03/2026,F-2026-0148,AC,CLEMENT PHILIP,,720.0,-720.0,A,6
159,FOURNISSEURS,FCLEMENT,CLEMENT PHILIP,06/05/2026,W7WVZSL,BQ,VIR INST DE SARL WE FORM PRESTA MAGICIEN SEMINAIRE,720.0,,0.0,A,6
160,FOURNISSEURS,FCUYNET,CUYNET OPHELIE,10/02/2026,001,AC,CUYNET OPHELIE,,840.0,-840.0,A,6
161,FOURNISSEURS,FCUYNET,CUYNET OPHELIE,27/03/2026,W7MOAZE,BQ,VIR INST DE SARL WE FORM FACTURE FORMATRICE SARL,840.0,,0.0,A,6
162,FOURNISSEURS,FCUYNET,CUYNET OPHELIE,29/05/2026,002,AC,CUYNET OPHELIE,,600.0,-600.0,A,6
163,FOURNISSEURS,FCUYNET,CUYNET OPHELIE,20/07/2026,W8EHKWG,BQ,VIR INST POUR OPHELIE CUYNET FORMATRICE SARL WE F,600.0,,0.0,A,6
164,FOURNISSEURS,FDANTE,DANTE,28/04/2025,FA0000086,AC,DANTE,,8640.0,-8640.0,A,6
165,FOURNISSEURS,FDANTE,DANTE,11/09/2025,FA00000153,AC,DANTE,,2160.0,-10800.0,B,6
166,FOURNISSEURS,FDANTE,DANTE,07/10/2025,00ULGGP,BQ,PRLV SEPA DANTE,4320.0,,-6480.0,A,6
167,FOURNISSEURS,FDANTE,DANTE,07/11/2025,011UB1X,BQ,PRLV SEPA DANTE,4320.0,,-2160.0,A,6
168,FOURNISSEURS,FDANTE,DANTE,20/11/2025,014J0WX,BQ,PRLV SEPA DANTE,2160.0,,0.0,B,6
169,FOURNISSEURS,FDANTE,DANTE,22/12/2025,01BZW04,BQ,PRLV SEPA DANTE,4650.0,,4650.0,C,6
170,FOURNISSEURS,FDANTE,DANTE,22/12/2025,,AC,DANTE - PRLV 22/12/2025 SANS FACTURE (FNP),,4650.0,0.0,C,6
171,FOURNISSEURS,FDANTE,DANTE,20/02/2026,01Q5XEY,BQ,PRLV SEPA DANTE,2325.0,,2325.0,D,6
172,FOURNISSEURS,FDANTE,DANTE,20/02/2026,,AC,DANTE - LICENCES NELLAPP (FNP),,2325.0,0.0,D,6
173,FOURNISSEURS,FDANTE,DANTE,30/06/2026,FA00000217,AC,DANTE - FA00000217 (FNP),,2325.0,-2325.0,E,6
174,FOURNISSEURS,FDANTE,DANTE,01/07/2026,02KPZBF,BQ,PRLV SEPA DANTE,2325.0,,0.0,E,6
175,FOURNISSEURS,FDANTE,DANTE,29/07/2026,02RQIVS,BQ,PRLV SEPA DANTE,1440.0,,1440.0,F,6
176,FOURNISSEURS,FDANTE,DANTE,29/07/2026,F-2026-86,AC,DANTE - F-2026-86 (FNP),,1440.0,0.0,F,6
177,FOURNISSEURS,FDIVERS,DIVERS,27/05/2025,1715A2,AC,RATP,,7.5,-7.5,A,6
178,FOURNISSEURS,FDIVERS,DIVERS,30/05/2025,,BQ,RATP,7.5,,0.0,A,6
179,FOURNISSEURS,FDIVERS,DIVERS,27/04/2026,,AC,PARKING,,7.0,-7.0,A,6
180,FOURNISSEURS,FDIVERS,DIVERS,27/04/2026,,AC,PARKING,,11.5,-18.5,A,6
181,FOURNISSEURS,FDIVERS,DIVERS,30/04/2026,,BQ,P1 GERLAND,7.0,,-11.5,A,6
182,FOURNISSEURS,FDIVERS,DIVERS,30/04/2026,,BQ,VERDUN PREF,11.5,,0.0,A,6
183,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,31/10/2025,F0044,AC,CARINE DUTERTRE,,200.0,-200.0,A,6
184,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,04/12/2025,W6WQ9LN,BQ,VIR INST POUR DUTERNE CARINE FACTURE NOVEMBRE SARL,200.0,,0.0,A,6
185,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,21/12/2025,F0045,AC,CARINE DUTERTRE,,600.0,-600.0,A,6
186,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,22/12/2025,W70KVQC,BQ,VIR INST POUR DUTERTRE CARINE FACTURE DECEMBRE SAR,600.0,,0.0,A,7
187,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,03/01/2026,F0047,AC,CARINE DUTERTRE,,800.0,-800.0,A,7
188,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,03/02/2026,F0048,AC,CARINE DUTERTRE,,650.0,-1450.0,A,7
189,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,04/02/2026,W7B4FHV,BQ,VIR INST POUR DUTERTRE CARINE FACTURE JANVIER SARL,650.0,,-800.0,A,7
190,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,03/03/2026,F0049,AC,CARINE DUTERTRE,,800.0,-1600.0,A,7
191,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,04/03/2026,W7HHK77,BQ,VIR INST DE SARL WE FORM FORMATRICE FEVRIER SARL,800.0,,-800.0,A,7
192,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,23/04/2026,W7T4OZO,BQ,VIR INST POUR DUTERTRE CARINE FORMATEUR MARS SARL,800.0,,0.0,A,7
193,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,10/05/2026,F0054,AC,CARINE DUTERTRE,,800.0,-800.0,A,7
194,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,12/05/2026,W7YF82D,BQ,VIR INST POUR DUTERTRE CARINE FACTURE AVRIL SARL,800.0,,0.0,A,7
195,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,02/06/2026,F0055,AC,CARINE DUTERTRE,,700.0,-700.0,A,7
196,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,03/06/2026,W82Z75L,BQ,VIR INST POUR DUTERTRE CARINE FORMATEUR MAI SARL,700.0,,0.0,A,7
197,FOURNISSEURS,FDUTERTRE,CARINE DUTERTRE,20/07/2026,W8EHKRB,BQ,VIR INST POUR DUTERTRE CARINE FORMATEUR JUIN SARL,300.0,,300.0,,7
198,FOURNISSEURS,FEASYCASH,EASYCASH,18/04/2026,563627,AC,EASYCASH,,363.96,-363.96,A,7
